 ,KOTA,KASUS,SEMBUH,MENINGGAL,DIRAWAT
1,SAMARINDA,744,481,28,235
2,BALIKPAPAN,1469,876,88,505
3,KUKAR,365,232,5,128
4,KUTIM,166,146,2,18
5,BONTANG,233,79,1,153
6,BERAU,121,95,1,25
7,KUBAR,83,81,1,1
8,PPU,68,33,3,32
9,PASER,165,140,5,20
10,MAHAKAM ULU,6,1,1,4
